50000,0.517340219,0.295641784
70000,0.611802074,0.278314228
90000,0.718369521,0.341791846
110000,0.90663406,0.421668752
130000,1.094461645,0.486157502
150000,1.263424556,0.589114957
170000,1.513492225,0.668147189
190000,1.611875634,0.728903278
210000,1.783152558,0.788856603
230000,1.971845734,0.949074962
250000,2.243155938,1.007406198
270000,2.365896184,1.098315067
290000,2.583444168,1.173278785
310000,2.600857146,1.174118555
330000,2.757821224,1.250693313
350000,2.974309072,1.329346789
370000,3.067584851,1.390943041
390000,3.470233708,1.594292121
410000,3.544300934,1.609764106
430000,3.758370994,1.710242257
